[Version1]
FullName,Value
Controller.*.i1,
Controller.*.i2,
Controller.*.o1,
Controller.-.i1,
Controller.-.i2,
Controller.-.o1,
Controller.+.i1,
Controller.+.i2,
Controller.+.o1,
Controller.<.i1,
Controller.<.i2,
Controller.<.o1,
Controller.<=.i1,
Controller.<=.i2,
Controller.<=.o1,
Controller.<>.i1,
Controller.<>.i2,
Controller.<>.o1,
Controller.=.i1,
Controller.=.i2,
Controller.=.o1,
Controller.>.i1,
Controller.>.i2,
Controller.>.o1,
Controller.Micro850.Micro850.__SYSVA_ABORT_CYCLE,FALSE
Controller.Micro850.Micro850.__SYSVA_CCEXEC,FALSE
Controller.Micro850.Micro850.__SYSVA_CYCLECNT,129755
Controller.Micro850.Micro850.__SYSVA_CYCLEDATE,T#5m53s609ms
Controller.Micro850.Micro850.__SYSVA_FIRST_SCAN,FALSE
Controller.Micro850.Micro850.__SYSVA_KVBCERR,FALSE
Controller.Micro850.Micro850.__SYSVA_KVBPERR,FALSE
Controller.Micro850.Micro850.__SYSVA_MAJ_ERR_HALT,FALSE
Controller.Micro850.Micro850.__SYSVA_POWERUP_BIT,FALSE
Controller.Micro850.Micro850.__SYSVA_PROJ_INCOMPLETE,0
Controller.Micro850.Micro850.__SYSVA_REMOTE,TRUE
Controller.Micro850.Micro850.__SYSVA_RESMODE,3
Controller.Micro850.Micro850.__SYSVA_RESNAME,'CONTROLLER\MICRO850\MICRO850'
Controller.Micro850.Micro850.__SYSVA_SCANCNT,130004
Controller.Micro850.Micro850.__SYSVA_SUSPEND_ID,0
Controller.Micro850.Micro850.__SYSVA_TCYCURRENT,T#0s
Controller.Micro850.Micro850.__SYSVA_TCYCYCTIME,T#0s
Controller.Micro850.Micro850.__SYSVA_TCYMAXIMUM,T#1s484ms
Controller.Micro850.Micro850.__SYSVA_TCYOVERFLOW,0
Controller.Micro850.Micro850.__SYSVA_TCYWDG,2000
Controller.Micro850.Micro850.__SYSVA_USER_DATA_LOST,FALSE
Controller.Micro850.Micro850._IO_EM_DI_00,FALSE
Controller.Micro850.Micro850._IO_EM_DI_01,FALSE
Controller.Micro850.Micro850._IO_EM_DI_02,FALSE
Controller.Micro850.Micro850._IO_EM_DI_03,FALSE
Controller.Micro850.Micro850._IO_EM_DI_04,FALSE
Controller.Micro850.Micro850._IO_EM_DI_05,FALSE
Controller.Micro850.Micro850._IO_EM_DI_06,FALSE
Controller.Micro850.Micro850._IO_EM_DI_07,FALSE
Controller.Micro850.Micro850._IO_EM_DI_08,FALSE
Controller.Micro850.Micro850._IO_EM_DI_09,FALSE
Controller.Micro850.Micro850._IO_EM_DI_10,FALSE
Controller.Micro850.Micro850._IO_EM_DI_11,FALSE
Controller.Micro850.Micro850._IO_EM_DI_12,FALSE
Controller.Micro850.Micro850._IO_EM_DI_13,FALSE
Controller.Micro850.Micro850._IO_EM_DI_14,FALSE
Controller.Micro850.Micro850._IO_EM_DI_15,FALSE
Controller.Micro850.Micro850._IO_EM_DI_16,FALSE
Controller.Micro850.Micro850._IO_EM_DI_17,FALSE
Controller.Micro850.Micro850._IO_EM_DI_18,FALSE
Controller.Micro850.Micro850._IO_EM_DI_19,FALSE
Controller.Micro850.Micro850._IO_EM_DI_20,FALSE
Controller.Micro850.Micro850._IO_EM_DI_21,FALSE
Controller.Micro850.Micro850._IO_EM_DI_22,FALSE
Controller.Micro850.Micro850._IO_EM_DI_23,FALSE
Controller.Micro850.Micro850._IO_EM_DI_24,FALSE
Controller.Micro850.Micro850._IO_EM_DI_25,FALSE
Controller.Micro850.Micro850._IO_EM_DI_26,FALSE
Controller.Micro850.Micro850._IO_EM_DI_27,FALSE
Controller.Micro850.Micro850._IO_EM_DO_00,FALSE
Controller.Micro850.Micro850._IO_EM_DO_01,FALSE
Controller.Micro850.Micro850._IO_EM_DO_02,FALSE
Controller.Micro850.Micro850._IO_EM_DO_03,FALSE
Controller.Micro850.Micro850._IO_EM_DO_04,FALSE
Controller.Micro850.Micro850._IO_EM_DO_05,FALSE
Controller.Micro850.Micro850._IO_EM_DO_06,FALSE
Controller.Micro850.Micro850._IO_EM_DO_07,FALSE
Controller.Micro850.Micro850._IO_EM_DO_08,FALSE
Controller.Micro850.Micro850._IO_EM_DO_09,FALSE
Controller.Micro850.Micro850._IO_EM_DO_10,FALSE
Controller.Micro850.Micro850._IO_EM_DO_11,FALSE
Controller.Micro850.Micro850._IO_EM_DO_12,FALSE
Controller.Micro850.Micro850._IO_EM_DO_13,FALSE
Controller.Micro850.Micro850._IO_EM_DO_14,FALSE
Controller.Micro850.Micro850._IO_EM_DO_15,FALSE
Controller.Micro850.Micro850._IO_EM_DO_16,FALSE
Controller.Micro850.Micro850._IO_EM_DO_17,FALSE
Controller.Micro850.Micro850._IO_EM_DO_18,FALSE
Controller.Micro850.Micro850._IO_EM_DO_19,FALSE
Controller.Micro850.Micro850._IO_P1_AI_00,0
Controller.Micro850.Micro850._IO_P1_AI_01,0
Controller.Micro850.Micro850._IO_P1_AI_02,10000
Controller.Micro850.Micro850._IO_P1_AI_03,0
Controller.Micro850.Micro850._IO_P2_AO_00,0
Controller.Micro850.Micro850._IO_P2_AO_01,0
Controller.Micro850.Micro850._IO_P3_AO_00,0
Controller.Micro850.Micro850._IO_P3_AO_01,0
Controller.Micro850.Micro850.Prog1.Agua_1_Sim,
Controller.Micro850.Micro850.Prog1.Agua_2_Sim,
Controller.Micro850.Micro850.Prog1.Agua_PID_1,0.0
Controller.Micro850.Micro850.Prog1.Agua_PID_2,0.0
