C:\Users\daxda\Documents\Universidad\Automatizacion\Parciales\1\1.2\Entrega\Alimentacion120VAC_5004.dwg,Model,22/05/2023 3:23:04,daxda,Microsoft Print to PDF,A4,1:11.2999,
C:\Users\daxda\Documents\Universidad\Automatizacion\Parciales\1\1.2\Entrega\TBDC_5005.dwg,Layout1,22/05/2023 3:30:03,daxda,DWG To PDF.pc3,ANSI A (11.00 x 8.50 Inches),1:1,
C:\Users\daxda\Documents\Universidad\Automatizacion\Parciales\1\1.2\Entrega\Alimentación230VAC_5003.dwg,Layout1,22/05/2023 3:31:21,daxda,DWG To PDF.pc3,ISO full bleed A4 (210.00 x 297.00 MM),1:1,
C:\Users\daxda\Documents\Universidad\Automatizacion\Parciales\1\1.2\Entrega\DI1.dwg,Layout1,22/05/2023 3:32:42,daxda,DWG To PDF.pc3,ANSI A (11.00 x 8.50 Inches),1:1,
C:\Users\daxda\Documents\Universidad\Automatizacion\Parciales\1\1.2\Entrega\DI2.dwg,Layout1,22/05/2023 3:33:33,daxda,DWG To PDF.pc3,ISO full bleed A4 (210.00 x 297.00 MM),1:0.0393701,
C:\Users\daxda\Documents\Universidad\Automatizacion\Parciales\1\1.2\Entrega\DO.dwg,Layout1,22/05/2023 3:34:07,daxda,DWG To PDF.pc3,ISO full bleed A4 (210.00 x 297.00 MM),1:0.0393701,
C:\Users\daxda\Documents\Universidad\Automatizacion\Parciales\1\1.2\Entrega\AI1.dwg,Layout1,22/05/2023 3:34:42,daxda,DWG To PDF.pc3,ISO full bleed A4 (210.00 x 297.00 MM),1:0.0393701,
C:\Users\daxda\Documents\Universidad\Automatizacion\Parciales\1\1.2\Entrega\AI2.dwg,Layout1,22/05/2023 3:35:37,daxda,DWG To PDF.pc3,ISO full bleed A4 (210.00 x 297.00 MM),1:0.0393701,
C:\Users\daxda\Documents\Universidad\Automatizacion\Parciales\1\1.2\Entrega\AO.dwg,Layout1,22/05/2023 3:38:05,daxda,DWG To PDF.pc3,ISO full bleed A4 (210.00 x 297.00 MM),1:0.0393701,
C:\Users\daxda\Documents\Universidad\Automatizacion\Parciales\1\1.2\Entrega\Tablero.dwg,Layout1,22/05/2023 3:39:32,daxda,DWG To PDF.pc3,ISO full bleed A4 (210.00 x 297.00 MM),1:1,
C:\Users\daxda\Documents\Universidad\Automatizacion\Parciales\1\1.2\Entrega\Tablero.dwg,Layout1,22/05/2023 3:47:01,daxda,DWG To PDF.pc3,ISO full bleed A4 (210.00 x 297.00 MM),1:1,
